features,n_features,k,silhouette,inertia,pca_explained_pc1,pca_explained_pc2,pca_explained_total,feature_set_name
"income_million_idr, expenditure_million_idr, food_expenditure_pct, social_class_score",4,3,0.6972175883617607,273.28146815356916,0.8894526881609637,0.059662646279991766,0.9491153344409554,economic_core
"income_million_idr, expenditure_million_idr, food_expenditure_pct",3,3,0.6970457565956721,189.3507438521478,0.9315055866792474,0.06797906210455743,0.9994846487838048,target_income_expenditure_food
"income_million_idr, expenditure_million_idr, food_expenditure_pct, social_class_score",4,4,0.6941897615781237,206.61348495552505,0.8894526881609637,0.059662646279991766,0.9491153344409554,economic_core
"income_million_idr, expenditure_million_idr, food_expenditure_pct, social_class_score",4,6,0.6811327467271961,122.02569731328578,0.8894526881609637,0.059662646279991766,0.9491153344409554,economic_core
"income_million_idr, expenditure_million_idr, food_expenditure_pct",3,4,0.666361561556688,123.77605660813649,0.9315055866792474,0.06797906210455743,0.9994846487838048,target_income_expenditure_food
"income_million_idr, expenditure_million_idr, food_expenditure_pct",3,2,0.6660909346132194,569.2397645517481,0.9315055866792474,0.06797906210455743,0.9994846487838048,target_income_expenditure_food
"income_million_idr, expenditure_million_idr, food_expenditure_pct, social_class_score",4,2,0.6659962301643666,737.1408958091343,0.8894526881609637,0.059662646279991766,0.9491153344409554,economic_core
"income_million_idr, expenditure_million_idr, food_expenditure_pct, social_class_score",4,5,0.6577098826541217,153.85897025760084,0.8894526881609637,0.059662646279991766,0.9491153344409554,economic_core
"income_per_capita, expenditure_per_capita, food_expenditure_pct",3,3,0.6522591618594533,236.05531182894617,0.9234002287367424,0.07609451769846293,0.9994947464352053,target_per_capita_food
"income_per_capita, expenditure_per_capita, food_expenditure_pct",3,2,0.6398406615595303,606.0499665816037,0.9234002287367424,0.07609451769846293,0.9994947464352053,target_per_capita_food
"income_per_capita, expenditure_per_capita, food_expenditure_pct",3,4,0.6300556290569367,154.61592495405233,0.9234002287367424,0.07609451769846293,0.9994947464352053,target_per_capita_food
"income_million_idr, food_spending_million_idr, non_food_spending_million_idr",3,2,0.6131448436106868,719.9224527480524,0.8661975200444584,0.1332479467607981,0.9994454668052565,target_food_spending_capacity
"income_million_idr, expenditure_million_idr, income_per_capita, expenditure_per_capita, saving_gap_million_idr",5,2,0.6110962907049066,1211.3409721484545,0.790560976822336,0.2006038637266258,0.9911648405489617,economic_capacity
"income_million_idr, expenditure_million_idr, food_expenditure_pct",3,5,0.5973846091551592,93.9260932098774,0.9315055866792474,0.06797906210455743,0.9994846487838048,target_income_expenditure_food
"expenditure_million_idr, food_expenditure_pct, food_spending_million_idr, non_food_spending_million_idr",4,2,0.5831084722538009,996.2517811712452,0.8219241115495461,0.1580612118826304,0.9799853234321765,food_budget_profile
"income_per_capita, expenditure_per_capita, food_expenditure_pct",3,5,0.5552961314505405,124.76449846732518,0.9234002287367424,0.07609451769846293,0.9994947464352053,target_per_capita_food
"income_million_idr, expenditure_million_idr, saving_gap_million_idr",3,2,0.5541713939743942,957.1984073591257,0.6661621031741051,0.33383789682589443,0.9999999999999996,target_budget_capacity
"income_million_idr, expenditure_million_idr, saving_gap_million_idr",3,6,0.5447224408626937,295.720840988213,0.6661621031741051,0.33383789682589443,0.9999999999999996,target_budget_capacity
"income_million_idr, expenditure_million_idr, food_expenditure_pct",3,6,0.5431136555901621,76.97346775471186,0.9315055866792474,0.06797906210455743,0.9994846487838048,target_income_expenditure_food
"expenditure_million_idr, food_expenditure_pct, food_spending_million_idr, non_food_spending_million_idr",4,4,0.5318673451464454,428.6477436436056,0.8219241115495461,0.1580612118826304,0.9799853234321765,food_budget_profile
"age, urban_years, education_score, social_class_score, household_member, income_million_idr, income_receipt_score, expenditure_million_idr, food_expenditure_pct",9,2,0.5275761267851504,1736.8129108948376,0.4909750010920496,0.1565741379713417,0.6475491390633913,full_socioeconomic
"household_member, income_per_capita, food_expenditure_pct, food_spending_million_idr",4,6,0.5223440787404295,384.01560429717847,0.5801643253546289,0.2519299002916794,0.8320942256463083,target_household_food_burden
"income_million_idr, expenditure_million_idr, saving_gap_million_idr",3,3,0.5196324948818036,606.2802403663529,0.6661621031741051,0.33383789682589443,0.9999999999999996,target_budget_capacity
"expenditure_million_idr, food_expenditure_pct, food_spending_million_idr, non_food_spending_million_idr",4,3,0.5179471953682194,620.5606888166333,0.8219241115495461,0.1580612118826304,0.9799853234321765,food_budget_profile
"income_million_idr, expenditure_million_idr, saving_gap_million_idr",3,4,0.5170716484829605,458.3018754852985,0.6661621031741051,0.33383789682589443,0.9999999999999996,target_budget_capacity
"expenditure_million_idr, food_expenditure_pct, food_spending_million_idr, non_food_spending_million_idr",4,5,0.5149686615475297,319.9474052272851,0.8219241115495461,0.1580612118826304,0.9799853234321765,food_budget_profile
"income_million_idr, expenditure_million_idr, saving_gap_million_idr",3,5,0.5141980103623609,372.39567409451536,0.6661621031741051,0.33383789682589443,0.9999999999999996,target_budget_capacity
"expenditure_million_idr, food_expenditure_pct, food_spending_million_idr, non_food_spending_million_idr",4,6,0.5085296415251023,247.54350404189734,0.8219241115495461,0.1580612118826304,0.9799853234321765,food_budget_profile
"age, urban_life_ratio, education_score, social_class_score, household_member, income_per_capita, expenditure_per_capita, food_expenditure_pct",8,6,0.5073945867014713,400.4030780302355,0.4451836128458441,0.21472374383594187,0.659907356681786,demographic_economic
"age, urban_years, education_score, social_class_score, household_member, income_million_idr, income_receipt_score, expenditure_million_idr, food_expenditure_pct",9,4,0.4939452326255147,795.0901660087267,0.4909750010920496,0.1565741379713417,0.6475491390633913,full_socioeconomic
"income_million_idr, expenditure_million_idr, income_per_capita, expenditure_per_capita, saving_gap_million_idr",5,4,0.4936162986053674,695.0484168936105,0.790560976822336,0.2006038637266258,0.9911648405489617,economic_capacity
"income_million_idr, food_spending_million_idr, non_food_spending_million_idr",3,4,0.48902206431740614,302.3763734872326,0.8661975200444584,0.1332479467607981,0.9994454668052565,target_food_spending_capacity
"income_per_capita, expenditure_per_capita, food_expenditure_pct",3,6,0.48734332073399234,100.54481358326501,0.9234002287367424,0.07609451769846293,0.9994947464352053,target_per_capita_food
"income_million_idr, expenditure_million_idr, income_per_capita, expenditure_per_capita, saving_gap_million_idr",5,3,0.4849239752603055,859.6978046937934,0.790560976822336,0.2006038637266258,0.9911648405489617,economic_capacity
"income_million_idr, expenditure_million_idr, income_per_capita, expenditure_per_capita, saving_gap_million_idr",5,6,0.4811235803371259,450.22387329314336,0.790560976822336,0.2006038637266258,0.9911648405489617,economic_capacity
