(A1) CITY,(A2) PROVINCE,(B3) GENDER,(B4) AGE,(B5) RELIGION,(B6) ETHNIC,(B7) EDUCATION LEVEL,(B8) LIVED IN URBAN AREA (YEARS),(B9) OCCUPATION,(B10) SOCIAL CLAS,(B11) HOUSEHOLD MEMBER,(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR),(C13) TIME OF INCOME RECEIPT,(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR),(C15) % MONTHLY EXPENDITURE FOR FOOD,(D16) HEALTH FACTOR,(D17) PRICE FACTOR),(E18) RELIGIOUS VALUE IN TYPE OF FOOD,(E19) RELIGIOUS VALUE IN EATING PLACES,(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN,(E21) CUSTOM VALUE IN TYPE OF FOOD,(E22) CUSTOM VALUE IN EATING PLACES,(E23) CUSTOM VALUE IN CONSUMPTION PATTERN,(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES,(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES,(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES,(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES,(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD,age,urban_years,education_score,social_class_score,household_member,income_million_idr,income_receipt_score,expenditure_million_idr,food_expenditure_pct,income_per_capita,expenditure_per_capita,food_spending_million_idr,non_food_spending_million_idr,saving_gap_million_idr,urban_life_ratio,PC1,PC2,cluster
Jakarta,DKI Jakarta,Female,31,Islam,Java,Senior High School,31,Private Employees,Lower Class,5,03:08:00,Daily,03:02:00,57,Disagree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,31,31,3,1,5,3.8,1,3.2,57,0.76,0.64,1.824,1.3760000000000001,0.5999999999999996,1.0,-1.8405818040628243,-0.34138541921776616,2
Jakarta,DKI Jakarta,Female,36,Islam,Java,Bachelor degree,32,Private Employees,Lower Class,6,04:02:00,Weekly,04:01:00,43,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,36,32,5,1,6,4.2,2,4.1,43,0.7000000000000001,0.6833333333333332,1.763,2.3369999999999997,0.10000000000000053,0.8888888888888888,-1.2550490279601683,-0.5278180066166979,2
Jakarta,DKI Jakarta,Male,24,Islam,Java,Senior High School,24,Private Employees,Middle Class,5,05:08:00,Weekly,05:05:00,38,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,24,24,3,2,5,5.8,2,5.5,38,1.16,1.1,2.09,3.41,0.2999999999999998,1.0,-0.08404385044399319,0.2207291112341238,1
Jakarta,DKI Jakarta,Female,63,Islam,Other,Senior High School,32,Private Employees,Lower Class,5,03:01:00,Daily,02:08:00,61,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,63,32,3,1,5,3.1,1,2.8,61,0.62,0.5599999999999999,1.7079999999999997,1.092,0.30000000000000027,0.5079365079365079,-2.111614527385484,-0.21492201227217225,2
Jakarta,DKI Jakarta,Male,43,Protestant,Batak,Primary School,43,Government Employees,Lower Class,6,03:04:00,Daily,03:01:00,58,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,43,43,1,1,6,3.4,1,3.1,58,0.5666666666666667,0.5166666666666667,1.798,1.302,0.2999999999999998,1.0,-1.9403791609562462,-0.2871951090073896,2
Jakarta,DKI Jakarta,Female,47,Protestant,Java,Senior High School,47,Government Employees,Lower Class,6,04:01:00,Weekly,05:03:00,34,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,47,47,3,1,6,4.1,2,5.3,34,0.6833333333333332,0.8833333333333333,1.8019999999999998,3.498,-1.2000000000000002,1.0,-0.8410377092229022,-0.6746129327599778,1
Jakarta,DKI Jakarta,Female,28,Catholic,Java,Senior High School,28,Enterpreneur,Upper Class,7,13:00:00,Monthly,11:08:00,26,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,28,28,3,3,7,13.0,3,11.8,26,1.8571428571428572,1.6857142857142857,3.068,8.732000000000001,1.1999999999999993,1.0,2.7820743769724223,-0.1152744115715085,3
Jakarta,DKI Jakarta,Female,48,Islam,Java,Senior High School,31,Enterpreneur,Lower Class,6,03:02:00,Daily,02:06:00,57,Disagree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,48,31,3,1,6,3.2,1,2.6,57,0.5333333333333333,0.43333333333333335,1.4820000000000002,1.1179999999999999,0.6000000000000001,0.6458333333333334,-2.011422721909348,-0.22057373830987517,2
Jakarta,DKI Jakarta,Female,36,Islam,Java,Senior High School,36,Enterpreneur,Upper Class,6,10:03:00,Monthly,10:00:00,24,Neither agree nor disagree,Disagree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,36,36,3,3,6,10.3,3,10.0,24,1.7166666666666668,1.6666666666666667,2.4,7.6,0.3000000000000007,1.0,2.1986048575191406,0.3295469608605623,3
Jakarta,DKI Jakarta,Female,39,Protestant,Other,Bachelor degree,19,Private Employees,Upper Class,7,14:02:00,Monthly,13:09:00,27,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,39,19,5,3,7,14.2,3,13.9,27,2.0285714285714285,1.9857142857142858,3.753,10.147,0.29999999999999893,0.48717948717948717,3.2232559160155665,-0.4438617087594576,3
